date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:54	103765/103765	---M-Z	200	added ('OK')	text/html	etag:%2215a0046b-19555-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/typography.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/typography.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:55	64085/64085	---M-Z	200	added ('OK')	text/html	etag:%2215a00465-fa55-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/syntax-highlighter.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/syntax-highlighter.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:55	82804/82804	---M-Z	200	added ('OK')	text/html	etag:%2215a00450-14374-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/helper-classes.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/helper-classes.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:55	82079/82079	---M-Z	200	added ('OK')	text/html	etag:%2215a00468-1409f-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/text-utilities.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/text-utilities.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:55	157349/157349	---M-Z	200	added ('OK')	text/html	etag:%2215a00449-266a5-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/feather.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/feather.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:56	69311/69311	---M-Z	200	added ('OK')	text/html	etag:%2215a0044a-10ebf-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/font-awesome.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/font-awesome.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:56	123307/123307	---M-Z	200	added ('OK')	text/html	etag:%2215a00461-1e1ab-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/simple-line.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/simple-line.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:56	62384/62384	---M-Z	200	added ('OK')	text/html	etag:%2215a00436-f3b0-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-lists.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-lists.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:56	294995/294995	---M-Z	200	added ('OK')	text/html	etag:%2215a00431-48053-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-buttons.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-buttons.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:56	83115/83115	---M-Z	200	added ('OK')	text/html	etag:%2215a0042f-144ab-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-alerts.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-alerts.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
